Designator,Mid X,Mid Y,Rotation,Layer
C1,115.5,-116.0,0.0,top
C2,115.5,-109.0,0.0,top
C3,117.5,-103.5,270.0,top
C4,116.0,-103.5,270.0,top
C5,123.0,-98.0,270.0,top
C6,115.2,-95.7,90.0,top
C7,113.7,-95.7,90.0,top
C8,121.9,-92.4,0.0,top
C9,124.5,-98.0,270.0,top
D1,138.0,-76.0,0.0,top
D10,164.0,-86.0,0.0,top
D11,170.0,-76.0,0.0,top
D12,180.0,-76.0,0.0,top
D13,175.0,-81.0,180.0,top
D14,170.0,-86.0,0.0,top
D15,180.0,-86.0,0.0,top
D16,138.0,-92.0,0.0,top
D17,148.0,-92.0,0.0,top
D18,143.0,-97.0,180.0,top
D19,138.0,-102.0,0.0,top
D2,148.0,-76.0,0.0,top
D20,148.0,-102.0,0.0,top
D21,154.0,-92.0,0.0,top
D22,164.0,-92.0,0.0,top
D23,159.0,-97.0,180.0,top
D24,154.0,-102.0,0.0,top
D25,164.0,-102.0,0.0,top
D26,170.0,-92.0,0.0,top
D27,180.0,-92.0,0.0,top
D28,175.0,-97.0,180.0,top
D29,170.0,-102.0,0.0,top
D3,143.0,-81.0,180.0,top
D30,180.0,-102.0,0.0,top
D31,138.0,-108.0,0.0,top
D32,148.0,-108.0,0.0,top
D33,143.0,-113.0,180.0,top
D34,138.0,-118.0,0.0,top
D35,148.0,-118.0,0.0,top
D36,154.0,-108.0,0.0,top
D37,164.0,-108.0,0.0,top
D38,159.0,-113.0,180.0,top
D39,154.0,-118.0,0.0,top
D4,138.0,-86.0,0.0,top
D40,164.0,-118.0,0.0,top
D41,170.0,-108.0,0.0,top
D42,180.0,-108.0,0.0,top
D43,175.0,-113.0,180.0,top
D44,170.0,-118.0,0.0,top
D45,180.0,-118.0,0.0,top
D5,147.975,-85.975,0.0,top
D6,154.0,-76.0,0.0,top
D7,164.0,-76.0,0.0,top
D8,159.0,-81.0,180.0,top
D9,154.0,-86.0,0.0,top
J1,106.05,-97.0,270.0,top
J2,106.0,-113.69,180.0,top
R1,130.0,-81.0,90.0,top
R10,130.0,-103.5,180.0,top
R11,130.0,-105.0,180.0,top
R12,130.0,-118.5,180.0,top
R13,130.0,-120.0,180.0,top
R14,130.0,-121.5,180.0,top
R2,130.0,-97.0,90.0,top
R3,130.0,-113.0,90.0,top
R4,110.0,-100.2,270.0,top
R5,110.0,-93.8,90.0,top
R6,130.0,-86.0,180.0,top
R7,130.0,-87.5,180.0,top
R8,130.0,-89.0,180.0,top
R9,130.0,-102.0,180.0,top
T1,143.0,-81.0,0.0,top
T2,159.0,-81.0,0.0,top
T3,175.0,-81.0,0.0,top
T4,143.0,-97.0,0.0,top
T5,159.0,-97.0,0.0,top
T6,175.0,-97.0,0.0,top
T7,143.0,-113.0,0.0,top
T8,159.0,-113.0,0.0,top
T9,175.0,-113.0,0.0,top
U1,119.0,-97.0,270.0,top
U2,115.5,-112.5,270.0,top
