Designator,Mid X,Mid Y,Rotation,Layer
C1,108.3,-107.0,270.0,top
C2,115.3,-107.0,270.0,top
C3,117.0,-116.875,270.0,top
C4,115.5,-116.875,270.0,top
C5,123.0,-112.0,270.0,top
C6,115.2,-110.8,90.0,top
C7,113.7,-110.8,90.0,top
C8,123.0,-103.1,90.0,top
C9,124.5,-112.0,270.0,top
D1,137.5,-76.0,270.0,top
D10,163.5,-86.0,270.0,top
D11,169.5,-76.0,270.0,top
D12,179.5,-76.0,270.0,top
D13,174.5,-81.0,90.0,top
D14,169.5,-86.0,270.0,top
D15,179.5,-86.0,270.0,top
D16,137.5,-92.0,270.0,top
D17,147.5,-92.0,270.0,top
D18,142.5,-97.0,90.0,top
D19,137.5,-102.0,270.0,top
D2,147.5,-76.0,270.0,top
D20,147.5,-102.0,270.0,top
D21,153.5,-92.0,270.0,top
D22,163.5,-92.0,270.0,top
D23,158.5,-97.0,90.0,top
D24,153.5,-102.0,270.0,top
D25,163.5,-102.0,270.0,top
D26,169.5,-92.0,270.0,top
D27,179.5,-92.0,270.0,top
D28,174.5,-97.0,90.0,top
D29,169.5,-102.0,270.0,top
D3,142.5,-81.0,90.0,top
D30,179.5,-102.0,270.0,top
D31,137.5,-108.0,270.0,top
D32,147.5,-108.0,270.0,top
D33,142.5,-113.0,90.0,top
D34,137.5,-118.0,270.0,top
D35,147.5,-118.0,270.0,top
D36,153.5,-108.0,270.0,top
D37,163.5,-108.0,270.0,top
D38,158.5,-113.0,90.0,top
D39,153.5,-118.0,270.0,top
D4,137.5,-86.0,270.0,top
D40,163.5,-118.0,270.0,top
D41,169.5,-108.0,270.0,top
D42,179.5,-108.0,270.0,top
D43,174.5,-113.0,90.0,top
D44,169.5,-118.0,270.0,top
D45,179.5,-118.0,270.0,top
D5,147.5,-86.0,270.0,top
D6,153.5,-76.0,270.0,top
D7,163.5,-76.0,270.0,top
D8,158.5,-81.0,90.0,top
D9,153.5,-86.0,270.0,top
J1,106.05,-97.0,270.0,top
J2,106.0,-114.19,180.0,top
R10,123.8,-107.3,180.0,top
R11,123.8,-108.8,180.0,top
R12,122.9,-116.875,90.0,top
R13,121.4,-116.875,90.0,top
R14,119.9,-116.875,90.0,top
R4,110.0,-99.25,270.0,top
R5,110.0,-94.75,90.0,top
R6,117.0,-103.1,270.0,top
R7,118.5,-103.1,270.0,top
R8,120.0,-103.1,270.0,top
R9,123.8,-105.8,180.0,top
T1,142.5,-81.0,0.0,top
T2,158.5,-81.0,0.0,top
T3,174.5,-81.0,0.0,top
T4,142.5,-97.0,0.0,top
T5,158.5,-97.0,0.0,top
T6,174.5,-97.0,0.0,top
T7,142.5,-113.0,0.0,top
T8,158.5,-113.0,0.0,top
T9,174.5,-113.0,0.0,top
U1,119.0,-111.0,270.0,top
U2,111.8,-107.0,180.0,top
